Accession;T1-02B001;T2-02B001;T3-02B001;T4-02B001;T5-02B001;T6-02B001;T7-02B001;T8-02B001;T1-02B002;T2-02B002;T3-02B002;T4-02B002;T1-02B004;T2-02B004;T3-02B004;T4-02B004;T5-02B004;T6-02B004;T7-02B004;T8-02B004;T1-02B006;T2-02B006;T3-02B006;T4-02B006;T5-02B006;T6-02B006;T7-02B006;T1-02B007;T2-02B007;T3-02B007;T4-02B007;T5-02B007;T6-02B007;T1-02B008;T2-02B008;T4-02B008;T6-02B008;T7-02B008;T1-02B009;T2-02B009;T3-02B009;T4-02B009;T5-02B009;T6-02B009;T7-02B009;T8-02B009;T1-02B010;T2-02B010;T3-02B010;T4-02B010;T5-02B010;T6-02B010;T7-02B010;T8-02B010;T1-02A001;T2-02A001;T3-02A001;T4-02A001;T5-02A001;T6-02A001;T7-02A001;T1-02A015;T2-02A015;T3-02A015;T4-02A015;T5-02A015;T6-02A015;T7-02A015;T1-02A020;T2-02A020;T3-02A020;T4-02A020;T5-02A020;T6-02A020;T7-02A020;T1-02A021;T2-02A021;T3-02A021;T4-02A021;T5-02A021;T6-02A021;T7-02A021;T2-02A022;T3-02A022;T4-02A022;T5-02A022;T6-02A022;T7-02A022;T1-02A023;T2-02A023;T3-02A023;T4-02A023;T5-02A023;T6-02A023;T1-02A025;T2-02A025;T3-02A025;T4-02A025;T5-02A025;T6-02A025;T7-02A025;T1-02A029;T2-02A029;T3-02A029;T4-02A029;T5-02A029;T6-02A029;T7-02A029
A0A024R442;54,27966917;51,22138873;54,27966917;85,19175892;63,85843431;77,61486675;133,9666667;149,3666667;145,7;283,1;70,4;94,6;122,7666667;191,1666667;85,88413316;149,3666667;83,7;82,02723822;83,7;149,3666667;83,40028852;93,10133637;82,85287555;86,61387808;138,8;82,00008697;43,62269303;54,27966917;94,07134071;94,07134071;96,26383764;80,43960779;94,90774908;42,55490245;98,28079205;26,04755179;149,3666667;180,0666667;122,6;108,5;137,2;94,5;128,4;162,5;153,2;86,2;163,9;108,5;151;97,5;118,5;203,3;121,9;101,5;149,3666667;61,94389699;150,6;125,2499219;131,9138781;131,9138781;100,4712025;56,75276753;114,5387454;69,44649446;87,67527675;90,92250923;103,6162362;100,7380074;49,16330063;81,93883439;68,37853433;72,24466244;36,12233122;64,85862666;58,33814195;30,79096045;21,36299435;33,47457627;23,16384181;21,50423729;32,62711864;37,42937853;56,7983925;131,9138781;56,7983925;127,5796115;126,6190891;150,6;60,70038911;85,60311284;94,94163424;89,7535668;102,0103761;57,06874189;56,32953784;74,94976557;88,14467515;75,15070328;50,56932351;101,6075017;44,87608841;129;148,0832552;129,2002885;147,8842928;150,8832552;180,0666667;174,1741104
A0A024R4M0;73,44118638;106,7408156;21,5;16,33333333;66,03333333;3,6;3,6;46,26666667;550;69,7;27,1;42;471,8;38;124,1;0,1;5;5;0,8;9,7;177,8;43,8;26,7;6,6;140,2;14,1;25,4;289;103,4;94,7;15,3;48,4;64,3;158,4836535;55,7;39,86078431;42,66666667;51,56666667;111,9855269;57,6;62,3;15,93333333;51,15143603;69,87981211;28,32207717;24,45753286;319,1;87,2;94,3;41,8;104,4;79,7;81,8;115,7;46,26666667;162,3308943;45,6;47,8;45,6;45,6;47,8;368,2926829;19,91869919;63,00813008;108,5365854;172,2222222;255,8265583;109,8915989;133,7714863;27,80586451;105,2578362;22,34580384;81,19312437;31,64812942;33,87259858;593,557423;99,15966387;38,0952381;55,88235294;70,44817927;137,1148459;63,16526611;74,34672094;53,1;93,53233831;40,93528817;46,26666667;47,8;181,5491732;14,79547433;22,45430809;29,32985205;17,84160139;18,71192341;205,5630936;95,79375848;151,1533243;99,05020353;101,3568521;120,624152;83,44640434;338,9403974;175,8940397;165,4304636;133,3774834;89,00662252;141,589404;116,8211921
A0A024R571;22,16666667;33,71884058;30,2;27,56666667;36,06666667;6,366666667;7,7;84,06666667;266,6;200,3;14,8;37,1;152,5;86,7;92,4;140,1;6,5;9,5;3,1;12,1;115,4;50,1;34,8;17,5;35,1;23;19,9;243,6;95;85;50,4;77,6;64,6;12,3;35;19,2;19,5;25,4;33,2;33,6;17,3;11,4;18,7;7,1;13,2;16,8;12,2;26,3;20,7;78,9;36,9;21;17,8;18,2;375,2941176;282,3529412;111,2941176;111,2941176;118,4705882;155,4117647;57,29411765;195,1536643;43,8534279;56,1465721;62,41134752;76,95035461;85,46099291;42,90780142;124,4565217;33,04347826;46,95652174;33,91304348;43,36956522;32,06521739;27,7173913;194,7556615;59,71394517;46,84147795;41,35876043;45,05363528;57,09177592;65,79261025;28,09446254;18,56677524;25,73289902;22,63843648;39,49511401;36,40065147;154,3040293;33,6996337;38,0952381;23,99267399;22,61904762;20,23809524;103,9419087;24,17012448;56,74273859;42,53112033;33,19502075;44,50207469;26,76348548;166,9362084;19,58670261;35,30997305;22,46181491;27,67295597;31,44654088;26,9541779
A0A075B6H7;107,8193146;93,29289446;71,33483315;102,8549373;121,4473191;98,4412596;154,5369329;258,7390762;129,504225;94,56728385;146,5001248;80,33333333;206,866417;266,7915106;209,9250936;101,9;133,6448598;97,97401143;109,9333333;101,9;87,07165109;114,9246969;135,1186352;189,6156854;90,96666667;200,2397651;34,07690673;71,33483315;94,91559894;94,91559894;102,697051;88,7634283;104,1692089;55,64385714;62,64078252;34,07690673;34,07690673;157,748814;87,07165109;140,7001248;99,43568568;127,8415206;171,6686642;143,6175189;208,2780708;104,4244469;63,5;79,8;73,4;102,6;105,3;97,2;70,4;130;75,2749399;75,14370631;91,06666667;99,03537415;146,5001248;146,5001248;79,8343119;62,4771202;108,2977425;69,73764491;92,49542404;79,25564369;112,9957291;134,4722392;46,1192351;144,9943757;45,72553431;209,336333;76,20922385;226,5466817;92,06974128;43,40344168;48,43849586;28,7444232;44,99681326;28,48948375;52,26258764;31,73996176;95,70093458;126,0747664;157,9439252;180,0934579;70,74766355;94,76635514;117,2284644;195,505618;239,7003745;263,670412;272,8464419;287,8277154;98,69387755;97,30612245;125,7959184;138,0408163;94,53061224;113,4693878;127,9183673;54,37788018;115,2841782;118,8172043;73,96313364;95,39170507;44,08602151;148,3102919
A0A075B6H8;86,3;74,2;93;79,7;127,4;231,6;239;132,4;124,4187921;117,4667287;87,6133783;84,7;67,22878021;203,6;194,5;98,9;98,9;118,4326149;95,1;186,6333333;81,5;144,6;63,4;112,1;364,7;131,8;101,5;46,8;58,5;83,9;77,3;85,9;105;40,56906706;73,9;105,0559031;98,62490163;185,2;117,215791;112,9333333;104,8;107,8666667;116,5657102;124,7455115;112,3516118;104,6164563;92;120,4;125,4;73,8;296,8;90,9;134,5;148,5;39,46037099;24,28330523;95,36256324;73,44013491;98,98819562;78,4148398;104,9747049;57,58591785;74,3503772;80,72087175;56,99916178;57,08298407;67,72841576;108,8013412;27,24573125;58,57461024;31,32887899;105,7906459;43,5783222;152,7839644;80,54936897;46,82139253;138,8496468;141,271443;151,9677094;58,12310797;81,73562059;130,9788093;147,1059662;132,7693678;114,3365984;148,4416741;93,94479074;110,5966162;86,07863974;86,07863974;84,69713071;84,37832094;91,81721573;107,7577046;154,1866029;140,0717703;143,4210526;148,0861244;152,9904306;172,9665072;184,8086124;90,72847682;92,45033113;101,7218543;91,52317881;104,3708609;97,35099338;131,1258278
A0A075B6H9;250,3401361;250,3401361;40,66666667;69,6713644;51,45049598;52,40501591;132,9;53,58412877;196,8901846;21,19656963;58,61246491;40,26666667;43,27157028;49,59760434;43,27157028;9,1;198,2567541;218,6588921;17,16666667;9,1;196,8901846;16,97054698;140,5666667;69,6713644;104,1666667;69,6713644;168,9764706;5,7;10,6;9,9;96,1;15,3;287,3;29,52492981;40,66666667;78,30980392;114,6791316;132,9;196,8901846;20,3;13,7;58,61246491;10,66666667;112,7124649;29,71246491;140,5666667;4,5;6,7;4,2;38,3;15,9;9,4;7,6;3,8;44,9747333;22,45929253;93,31836047;41,43739472;35,87871982;71,47669848;41,43739472;25,03506311;13,25385694;13,60448808;24,4740533;30,29453015;17,95231417;19,70546985;43,9116877;48,97913157;40,43333333;40,7713644;76,50980392;47,93333333;40,26666667;86,80445151;131,0015898;106,200318;123,5294118;66,93163752;78,85532591;154,8489666;239,6501458;211,3702624;400;263,2653061;169,6793003;181,3411079;42,65309751;84,18469658;58,99223283;48,97913157;40,26666667;50,94579824;40,43333333;50,94579824;40,26666667;50,94579824;141,5666667;59,65826315;254,3931858;40,43333333;160,9582631;32,72492981;269,776482;75,47223167;30,75826315;22,21246491
A0A075B6I0;58,13333333;70,87595858;82,37741394;57,66291391;94,29051217;41,58940397;95,31270641;140,0471143;136,5727316;75,05878713;67,54260486;71,13333333;40,08830022;42,00883002;121,7903416;106,6;114,2;148,0223205;91,73333333;106,6;124,8070175;88,70153775;98,76666667;57,66291391;66,93333333;88,88697572;106,0333333;64,4;44,2;66,7;86,3;43;102,3;16,6;28,3;129,5;38;49,1;124,8070175;94,44475854;77,23333333;102,4793731;111,4276796;144,6304893;144,0205443;79,70892807;85,4;88,7;74;80,5;122;84,1;87,2;110,6;49,93377483;33,17880795;52,64900662;35,82781457;36,22516556;50,86092715;38,94039735;55,55555556;72,73307791;65,90038314;66,66666667;54,02298851;54,34227331;76,75606641;47,35516373;88,91687657;54,82787573;154,4080605;62,80436608;140,6381192;87,40554156;71,53912296;90,1977644;85,03869304;78,67583835;69,8194325;91,74548581;90,36973345;143,2631579;154;140,1052632;140,6315789;97,68421053;133,4736842;95,40636042;131,4487633;114,1342756;150,1766784;155,8303887;182,9210836;132,1204517;135,0062735;157,7164366;169,3851945;161,7314931;149,4353827;176,6624843;86,26666667;157,8000836;48,24825448;125,3178806;114,4439551;52,95607064;79,73333333
A0A075B6I1;250,9838998;228,3918988;210,1984127;257,0897436;221,8253968;236,3461538;284,6031746;469,4871795;341,2939773;244,8675214;304,9206349;130,7489524;154,4102564;674,5080501;192;722,1824687;722,1824687;782,8548002;761,9558736;446,7426953;268,6344663;233,8461538;270,7936508;310,0982906;247,8418803;247,5897436;85,15742129;210,1984127;192;192;192;169,1670319;168,9230769;166,6597059;116,347243;85,15742129;85,15742129;431,9022063;268,6344663;278,9285714;389,9985092;214,2063492;475,2549195;549,8076923;496,1538462;272,9761905;206,2690604;168,518315;210,1984127;168,518315;210,1984127;323,3333333;246,984127;210,1984127;128,6196581;166,1593407;135,9991739;243,0089122;227,320878;215,3336985;305,78669;111,6923077;275,5384615;98,46153846;224,4615385;232,7692308;118,7692308;132,7692308;108,3333333;354,1666667;165,8333333;335,5952381;220,952381;255,8333333;243,8095238;85,75712144;173,4632684;70,0149925;113,1934033;72,26386807;92,20389805;104,4977511;351,3416816;712,3434705;298,3899821;1222,182469;222,5402504;232,0214669;137,0985277;290,7573047;325,7439549;337,3382173;179,874646;452,5641026;213,8461538;450;624,4230769;575;209,0384615;414,0384615;368,6538462;268,6344663;342,5641026;228,3918988;341,2939773;415,8467501;240,1984127;246,984127
A0A075B6I4;606,3333333;1454,566667;389,7188188;270,8840467;2027,966667;574,9503852;2027,966667;254,9049049;995,9839357;618,2458873;529,460241;412,5333333;606,3333333;712,7;769,7;769,7;1454,566667;601,5835112;426,9666667;769,7;633,9927361;641,6058527;283,2;283,2;637,6666667;594,0202064;472,3451794;761,777621;396,4980545;396,4980545;270,8840467;454,3882404;415,7087765;906,3;706,3;206,4;3451;2426,5;1058,13253;546,4666667;1198,091968;215,0742743;645,9333333;757,4546185;1030,62249;226,4076076;408,6;466,7;560,4;172,4;1000,3;470,8;671,1;637,7;289,6536497;215,9769996;283,2;283,2;283,2;283,2;540,7935743;269,1309987;580,155642;460,5706874;433,8521401;406,4850843;349,156939;630,4798962;215,9769996;435,8932987;330,7856463;283,2;342,1189797;658,3759036;283,2;215,9769996;557,0687419;463,2944228;557,0687419;557,0687419;557,0687419;519,9308258;1101,606426;283,2;1101,606426;401,2;540,7935743;283,2;283,2;281,8818819;669,7092369;669,7092369;412,5333333;775,3317269;343,373494;945,1807229;814,7590361;1120,783133;710,8433735;1331,927711;1648,795181;168,4684685;310,6606607;256,4564565;284,8348348;304,3543544;291,8918919;443,6936937
A0A075B6I9;228,6332715;169,917387;170,533099;117,7520063;237,0826011;225,9311263;321,7627417;202,5;81,6;200;86,5;321;150,3759657;188,5550787;156,509299;202,5;252,2217069;282,0952042;202,5;202,5;226,0358689;101,1468853;202,8227885;205,6121109;195,9865261;213,9630044;256,5762279;170,533099;100,5545287;100,5545287;100,5545287;97,25816389;106,685151;103,0577041;112,9846263;285,4509415;202,5;239,0457797;226,0358689;157,7968526;219,2585627;205,6121109;227,8254649;196,6509709;198,9619578;302,2261277;161,1356925;142,7065026;170,533099;103,0577041;170,533099;213,2775379;283,3327475;170,533099;202,5;101,4878813;253,8033395;86,28251792;120,4719575;136,3706707;217,9755466;133,6414048;102,4953789;106,0073937;108,2255083;112,3844732;81,05360444;111,5526802;228,1195079;462,0386643;66,95957821;385,940246;161,1599297;360,8084359;283,4797891;145,8346886;106,685151;96,51879236;106,685151;106,685151;125,0693296;125,0693296;273,8404453;349,1651206;281,6326531;338,5899814;148,9795918;255,2875696;103,8626609;197,4248927;169,527897;272,9613734;196,1373391;316,5236052;109,8381071;110,8343711;108,2191781;281,6936488;248,5678705;158,5305106;273,1008717;145,1598639;194,6450809;142,7065026;153,271321;210,611457;202,5;227,3866432
A0A075B6J9;6,966666667;9,378996865;13,7897945;41,76936937;78,30024382;75,97597598;66,37415535;341,0194175;43,60048226;42,63531825;95,87087379;15,96666667;42,55255255;68,37837838;311,0436893;25,7;80,89281046;158,0724816;265,4093561;25,7;36,11111111;7,846760286;29,36666667;41,76936937;8,166666667;40,6027027;29,36666667;5;2,9;5,5;27,2;4,2;44,4;0,6;3,8;16,5;7,1;7,3;36,11111111;150,8621359;16,87712418;141,3783407;127,9126214;105,0550162;127,9126214;46,01184256;51,71789436;4,845663532;42,40211999;18,34566353;36,35645646;45,28978979;5,845663532;41,41291762;31,08108108;21,89189189;106,6666667;20;27,65765766;78,10810811;99,36936937;19,54915004;8,573540281;8,795269771;11,89948263;7,058388766;8,536585366;6,430155211;14,15882968;44,46185998;7,836990596;231,138976;17,03239289;150,522466;76,54127482;24,15316642;19,93127148;8,54197349;7,805596465;11,09474718;10,30927835;16,10211095;40,93137255;171,0784314;36,51960784;92,89215686;31,61764706;35,78431373;208,3737864;58,25242718;240,4126214;298,3009709;484,3446602;85,07281553;84,02459547;43,58978979;16,14413096;40,02312312;19,07320261;48,85645646;28,41885895;246,4125561;47,53363229;65,47085202;34,75336323;56,7264574;30,71748879;14,79820628
A0A075B6K2;16,3;21,47432578;19,64442075;12,89838872;11,78247734;14,04501511;1132,566667;17,43333333;1,5;21,6;15;15,7;13,72943941;12,89023162;224,9021379;17,43333333;1601,6;10,66200436;1601,6;17,43333333;14,54153182;5,744935828;943,8333333;670,8333333;15,96666667;943,8333333;943;0,7;8,8;1,8;10,1;1,6;7,6;2,6;27,3;19;2,2;7,6;10,4;297,3;119,2;1987,4;335,2;144;451,3;2802,4;2,6;5;5;34,5;2,9;11,8;6,9;3,1;10,9264854;11,93353474;14,50151057;12,33635448;15,65961732;13,59516616;9,41591138;6,583217432;3,569772833;4,38108484;2,990264256;3,059805285;3,500231803;2,433936022;8,494405811;12,83863713;4,5;11,60369251;5,085888078;18,8;13,63333333;11,60583942;10,65693431;4,817518248;3,357664234;2,262773723;8,783454988;16,13138686;14,82200647;12,16828479;18,12297735;7,184466019;11,71521036;17,08737864;293,2249322;53,08641975;176,4528756;160,7648299;205,0286058;14,33303222;95,36247335;11,30063966;32,14285714;2,931769723;11,7803838;12,63326226;6,609808102;10,23333333;945,1002132;10,00530379;14,87195;16,20021322;60,43333333;7,466666667
A0A075B6K4;131,4;187,1;160,4;51,7;234;434,9;456;499,3;121,7654172;85,38586117;95,65873588;186,1254025;59,31266522;240,2;193,8333333;240,2;289,8;140,6285593;240,2;240,2;107,5818976;106,718661;292;101,4986782;340,9333333;117,0218938;302,1;53,1;286,2;292,8;176,3;323,1;406,9;70,11528479;261,8666667;199,437243;276,0898822;302,1;132,9302701;125,0322999;238,2705764;102,830006;105,1064078;217,2133414;113,3413946;158,4036903;77,91396299;225,7565489;77,91396299;111,1819515;238,0565489;85,38586117;264,0666667;77,91396299;39,65392934;29,92069214;85,21989906;58,97620764;71,52126893;76,49603461;98,26964672;251,7666667;264,0666667;264,0666667;264,0666667;264,0666667;264,0666667;264,0666667;251,7666667;199,2232156;264,0666667;82,09565008;264,0666667;125,2568805;264,0666667;251,7666667;264,0666667;264,0666667;264,0666667;199,437243;264,0666667;264,0666667;111,4748077;227,1565489;126,5215639;199,2232156;199,437243;264,0666667;176,4402307;77,91396299;117,0218938;199,2232156;302,1;137,270898;106,6505441;98,91172914;118,1378476;145,828295;143,4099154;122,974607;137,2430472;80,49001815;328,4029038;362,3411978;194,5553539;218,4210526;174,4101633;399,4555354
A0A075B6K5;33,1738437;7,336523126;33,1738437;119,4763166;130,0637959;136,7755222;170,1222754;253,8011696;117,3332858;52,47468447;134,1312976;55,95986225;100,6766696;129,6852015;268,3147262;50,83798883;212,1422992;119,1340782;253,8011696;119,1340782;2,917008615;29,23635057;303,3758639;177,0851076;122,8596646;187,2939926;16,50710763;21,71665557;51,56883087;27,62283846;52,47468447;29,89608627;91,62731041;31,92554054;37,83172343;16,50710763;122,8596646;179,7293322;69,69273743;198,989899;45,20484171;181,5257842;126,7942584;39,97836346;97,29075524;73,23232323;51,56883087;31,92554054;51,56883087;51,56883087;51,56883087;51,56883087;51,56883087;31,92554054;99,91173875;3,089143866;317,1226831;59,48808473;79,9646955;218,9761695;90,11473963;12,9193267;16,50710763;16,50710763;16,50710763;16,50710763;16,50710763;16,50710763;16,3476874;125,2791069;5,103668262;618,3413078;0,558213716;291,2280702;93,85964912;55,61357702;32,55004352;11,92341166;18,2767624;19,32114883;55,61357702;15,66579634;69,98238062;156,0616384;53,16573557;144,7900053;48,87964091;184,4763424;247,84689;96,33173844;252,7910686;204,3062201;304,3062201;31,2599681;220,6703911;7,82122905;57,40223464;15,78212291;39,66480447;79,32960894;112,0111732;102,6070764;53,16573557;31,92554054;61,16085881;37,90603053;122,8596646;122,8596646
A0A075B6P5;126,5;94;124,3;71,2;186,8;326,6;211,5;235,7;134,8;137,5;394;438,2;138,4;204;148,9;13,1;8,2;11,9;7,8;11,1;131,4;140,6;153,6;257,1;104,4;147,2;233,1;81,3;80,6;147,7;110,1;167,7;148,7;52,8;58,8;107,6;168,3;111,8;112,1;124,1;176,5;104,6;155;85,1;176,2;168,8;36,6;34,6;30;47,6;45,7;37,6;42,8;43,1;124,2375602;99,67897271;273,6757624;200,4815409;270,7865169;159,2295345;293,9004815;11,24309392;6,38121547;8,342541436;9,613259669;8,17679558;7,237569061;9,944751381;11,67039523;56,04026846;9,395973154;119,9478001;8,687546607;102,8337062;35,86875466;15,8975598;27,27712008;10,77554965;15,92172022;12,70838367;16,62237255;16,2841266;144,3447038;238,9587074;164,6319569;249,7307002;144,524237;151,5260323;98,25986079;133,062645;139,4431555;158,4686775;183,7587007;171,8097448;34,8248206;20,47277332;23,30097087;21,14816378;25,66483748;26,88898269;26,00253271;27,05510388;7,633242999;13,0532972;6,955736224;13,23396567;10,93044264;10,3432701
A0A075B6Q5;50,2;152,4;153,8;11,7;14,4;97,2;24,8;76;61,1;133,7;170,1;79,3;68,61575179;207;189,6;196,9333333;148,3;250,6446888;50,86666667;222,3666667;93,1;135,5;153,8;224,5;280,9;232,4;204,6;15,8;72;76,3;95;61,1;74,8;37,97733499;76,03333333;75,94137931;59,93802705;58,1;39,5;245,3;38,6;82,2;276,9;20,2;99,9;58,7;65,3;114,2;105,4;119,8;137,2;90,7;122,3;94,3;53,1026253;77,20763723;66,82577566;49,64200477;61,09785203;67,54176611;43,91408115;79,04967603;154,6436285;127,7537797;157,5593952;134,7732181;148,0561555;166,7386609;34,49564134;133,8729763;47,75840598;218,0572852;50,373599;158,4682441;139,0410959;51,11111111;77,70114943;65,13409962;71,72413793;63,44827586;68,04597701;72,10727969;201,5350877;383,004386;226,2061404;378,1798246;142,7631579;215,8991228;97,48892171;114,4756278;188,478582;169,7193501;165,7311669;207,5332349;142,6303855;105,8956916;97,39229025;123,9229025;145,3514739;129,2517007;164,1723356;136,5296804;124,8858447;154,109589;109,3607306;184,0182648;125,1141553;155,4794521
A0A075B6R9;138,5;117,6;130,8;36,6;132,5;204;165,9;167,3;222,7369653;175,4130101;95,97181623;114,9923704;89,51048951;124,3666667;126,9666667;124,3666667;490,1694915;354,6690806;124,3666667;124,3666667;220,7344633;244,6023003;125,1943503;82,51857032;140,9032634;148,0686305;63,05220884;151,2957146;137,2598162;137,2598162;124,9233223;131,4642027;150,5871322;177,7137411;131,4226445;63,05220884;129,1763792;102,4475524;220,7344633;146,1988304;368,406911;123,9633083;204,3534763;253,4256615;246,0828536;300,6355932;165,7608681;177,7137411;140,1676478;140,1676478;140,1676478;140,1676478;140,1676478;177,7137411;71,56177156;38,81118881;154,8951049;97,31934732;116,0839161;113,6363636;176,5734266;106,3909774;153,8847118;121,3032581;100,877193;141,4786967;169,4235589;304,887218;74,15254237;379,8728814;146,6101695;201,4830508;209,9576271;129,0254237;312,0762712;82,32931727;145,3815261;53,61445783;71,08433735;64,45783133;80,32128514;79,91967871;274,4067797;518,9830508;287,7966102;728,1355932;164,4067797;223,3898305;150,2923977;134,3079922;153,9961014;195,711501;195,711501;324,7563353;179,6511628;259,496124;267,6356589;366,4728682;266,4728682;338,7596899;571,3178295;206,2645012;241,5313225;105,3364269;90,9512761;207,424594;240,3712297;109,0487239
A0A075B6S6;154,4846051;154,4846051;196,0444041;190,7306534;200,3995434;170,0943126;200,3995434;302,2889843;189,268157;175,9331189;219,7505732;188,0169602;250,5007153;385,5507868;207,1530758;366,4658635;366,4658635;248,4558334;200,9509211;243,5956153;145,9839357;173,4948242;166,2545856;191,064149;180,9328639;214,290426;209,9280198;169,428857;150,2268761;150,2268761;150,2268761;158,0104712;170,7504363;137,5087858;173,4948242;165,7700399;302,2889843;302,2889843;145,9839357;201,0014306;177,7365168;209,4884821;379,3991416;195,549905;358,5067709;247,97203;145,9839357;195,9658186;195,9658186;205,4029316;204,2151438;195,9658186;204,2151438;204,2151438;129,8539654;112,7645327;269,5448461;178,9549714;195,9658186;210,8630789;178,9549714;93,29842932;174,4502618;136,5445026;153,2984293;151,0994764;146,2827225;201,2565445;137,5087858;182,8840039;157,5087858;229,1876862;173,4948242;219,7505732;197,2795788;121,6520271;170,7504363;152,425829;170,7504363;170,7504363;170,7504363;173,9965096;159,2369478;376,5060241;184,7389558;546,7871486;102,6104418;176,1044177;98,71244635;235,6223176;268,6695279;384,1201717;254,0772532;633,9055794;136,6438356;172,9452055;181,5068493;178,0821918;182,5342466;217,6369863;201,0273973;151,2244898;268,1632653;197,5510204;168,3673469;208,5714286;284,2857143;164,6938776
A0A075B6S9;23,92102847;13,36931749;31,04082999;48,38723143;136,4290495;38,94004502;148,4005355;115,3604257;20,56003326;10,92135314;47,57464702;28,7;27,93124616;34,33599345;122,9801645;9,7;131,1263545;116,8436765;21,46666667;9,7;24,05876951;10,30020406;84,1;48,38723143;41,5;54,60781666;69,7548737;0,2;2,4;4,7;79,6;1,2;118,6;7,513119143;27,73333333;30,62154037;49,16189892;66,46666667;24,05876951;53,49409773;7,033333333;176,0496358;44,24160619;19,8668714;44,15593422;52,42637216;1,1;6,6;6,4;54,1;15,2;5,3;8,9;5;23,08164518;8,47145488;80,66298343;9,023941068;18,78453039;56,53775322;27,68569675;16,00823045;7,201646091;9,465020576;9,012345679;6,46090535;6,58436214;7,160493827;17,52008032;77,25903614;13,10240964;508,8353414;9,236947791;325,4016064;70,78313253;22,26871223;17,9916318;9,29800093;11,06462111;10,18131102;14,9697815;11,94793119;18,18181818;195,1790634;17,76859504;60,05509642;22,03856749;31,95592287;109,8693759;26,3425254;99,78229318;87,01015965;159,2888244;15,52975327;123,7020316;17,15575621;23,77727615;16,10233258;14,29646351;32,20466516;20,8427389;123,147301;8,417200366;38,60933211;16,01097896;30,10064044;22,68984446;13,1747484
A0A075B7B8;93,8;54,9;62,3;146,4;89,2;135,4;111,3;102;36,7;70,7;18,3;54,5;182,6;195,5666667;145,7;210,0666667;210,0666667;177,2297292;162,1;219,4;165,6;149,7;104,1;117,1;232,5;321,6;204,5;28,5;23,8;33,6;16,8;51,9;61,9;25,125;30,83333333;85,03746524;43,53333333;56,1;70,52194543;108,3333333;78,4;93,93333333;111,5339818;458,2009257;134,3357977;186,670679;68,2;81,4;75,4;93,9;141,5;55,9;127,5;111,7;47,83333333;34,66243254;55,53333333;41,53333333;55,53333333;55,53333333;41,53333333;63,38729763;50,68493151;38,85429639;41,59402242;34,49564134;31,13325031;37,85803238;26,38888889;41,55092593;19,09722222;57,87037037;27,77777778;42,36111111;33,91203704;66,50774732;160,1907032;125,864124;186,4123957;320,2622169;720,3814064;278,1883194;101,0676157;128,113879;81,67259786;87,72241993;49,82206406;60,67615658;145,1361868;126,6536965;103,5019455;130,9338521;136,381323;149,8054475;191,5134371;378,5007072;752,4752475;869,4483734;344,8373409;1035,219236;788,8260255;81,97530864;51,11111111;58,51851852;39,25925926;102,962963;70,86419753;63,45679012
A0A075B7D0;39,7;34,1;47,7;35,7;91,8;170;109,4;110,9;43,7;447,1;164,5;523,4;163,3599392;72,53333333;39,23333333;91,5;91,5;148,7931471;96;63,93333333;38,3;32,3;52,7;63,8;51,3;87,8;134;198,3656404;93,7037037;93,7037037;165,2657946;123,2805666;118,2314815;186,7408056;164,9319497;151,1737089;198,3656404;219,3507792;96,54761905;89,03333333;142,0253968;88;80,05354331;157,3254463;65,83228346;99,21378205;76,9;102,9;87,2;131,9;278,3;91,7;170,7;202,4;107,8677309;83,35233751;356,6704675;157,1265678;204,7890536;201,9384265;236,031927;116,8055556;118,4722222;102,2222222;102,6388889;94,16666667;84,30555556;117,3611111;113,4685185;164,9319497;114,3564925;176,5567845;131,5326933;152,8086235;153,2106423;135,7529794;156,0130011;143,2286024;167,063922;143,2286024;133,8028169;149,5124594;115,4761905;282,7380952;123,2142857;773,2142857;69,52380952;104,6428571;73,77952756;53,07086614;104,9606299;129,6850394;181,1811024;60,23622047;185,8208955;178,6069652;253,4825871;240,2985075;266,6666667;234,8258706;294,0298507;75,84134615;64,18269231;67,30769231;52,88461538;68,14903846;56,61057692;72,59615385
A0A075B7D4;99,85412108;99,85412108;73,77225935;99,0625893;59,67938665;56,45582854;132,7666667;147,4100435;84,68322691;41,2692911;195,2735469;116,8979439;35,35459139;65,56891445;152,4713325;166,0666667;145,9527352;70,69479457;76,80948061;166,0666667;97,55652808;42,43453129;166,0666667;99,0625893;116,5;128,6147761;125,3363435;23,9;188,5;186,6;235,4;86,7;76,2;56,58140791;170,2;128,8363435;93,38346402;132,7666667;97,55652808;155,7532622;139,0576951;196,1834461;147,6077501;64,46734071;133,5622261;141,1627451;76,98819128;164,1167974;59,67938665;127,0814079;130,183464;59,95474517;169,5666667;59,67938665;34,34396236;26,6074229;25,50967067;28,59383168;46,26241505;33,19393623;117,2503921;82,64925373;27,11442786;38,12189055;96,39303483;56,77860697;61,19402985;32,08955224;168,8497512;146,4501307;169,5666667;65,56891445;162,1363435;107,6988616;169,5666667;33,46613546;108,6321381;58,23373174;64,40903054;79,1500664;95,41832669;49,13678619;143,8730853;126,2582057;150,7658643;76,25820569;63,6761488;85,12035011;69,27639383;76,15658363;321,826809;54,09252669;66,31079478;44,83985765;52,67804591;34,02001177;46,32136551;83,22542672;60,91818717;54,50264862;53,20776928;31,32352941;178,9705882;132,7941176;162,3529412;156,7647059;53,08823529;53,52941176
