Accession;T1-02B001;T2-02B001;T3-02B001;T4-02B001;T5-02B001;T6-02B001;T7-02B001;T8-02B001;T1-02B002;T2-02B002;T3-02B002;T4-02B002;T1-02B004;T2-02B004;T3-02B004;T4-02B004;T5-02B004;T6-02B004;T7-02B004;T8-02B004;T1-02B006;T2-02B006;T3-02B006;T4-02B006;T5-02B006;T6-02B006;T7-02B006;T1-02B007;T2-02B007;T3-02B007;T4-02B007;T5-02B007;T6-02B007;T1-02B008;T2-02B008;T4-02B008;T6-02B008;T7-02B008;T1-02B009;T2-02B009;T3-02B009;T4-02B009;T5-02B009;T6-02B009;T7-02B009;T8-02B009;T1-02B010;T2-02B010;T3-02B010;T4-02B010;T5-02B010;T6-02B010;T7-02B010;T8-02B010;T1-02A001;T2-02A001;T3-02A001;T4-02A001;T5-02A001;T6-02A001;T7-02A001;T1-02A015;T2-02A015;T3-02A015;T4-02A015;T5-02A015;T6-02A015;T7-02A015;T1-02A020;T2-02A020;T3-02A020;T4-02A020;T5-02A020;T6-02A020;T7-02A020;T1-02A021;T2-02A021;T3-02A021;T4-02A021;T5-02A021;T6-02A021;T7-02A021;T2-02A022;T3-02A022;T4-02A022;T5-02A022;T6-02A022;T7-02A022;T1-02A023;T2-02A023;T3-02A023;T4-02A023;T5-02A023;T6-02A023;T1-02A025;T2-02A025;T3-02A025;T4-02A025;T5-02A025;T6-02A025;T7-02A025;T1-02A029;T2-02A029;T3-02A029;T4-02A029;T5-02A029;T6-02A029;T7-02A029
A0A024R442;;;;;;;;;145,7;283,1;70,4;94,6;;;;;;;;;;;;;;;;;;;;;;;;;;;122,6;108,5;137,2;94,5;128,4;162,5;153,2;86,2;163,9;108,5;151;97,5;118,5;203,3;121,9;101,5;;;;;;;;56,75276753;114,5387454;69,44649446;87,67527675;90,92250923;103,6162362;100,7380074;49,16330063;81,93883439;68,37853433;72,24466244;36,12233122;64,85862666;58,33814195;30,79096045;21,36299435;33,47457627;23,16384181;21,50423729;32,62711864;37,42937853;;;;;;;60,70038911;85,60311284;94,94163424;89,7535668;102,0103761;57,06874189;56,32953784;74,94976557;88,14467515;75,15070328;50,56932351;101,6075017;44,87608841;;;;;;;
A0A024R4M0;;;;;;;;;550;69,7;27,1;42;471,8;38;124,1;0,1;5;5;0,8;9,7;177,8;43,8;26,7;6,6;140,2;14,1;25,4;289;103,4;94,7;15,3;48,4;64,3;;;;;;;;;;;;;;319,1;87,2;94,3;41,8;104,4;79,7;81,8;115,7;;;;;;;;368,2926829;19,91869919;63,00813008;108,5365854;172,2222222;255,8265583;109,8915989;133,7714863;27,80586451;105,2578362;22,34580384;81,19312437;31,64812942;33,87259858;593,557423;99,15966387;38,0952381;55,88235294;70,44817927;137,1148459;63,16526611;;;;;;;181,5491732;14,79547433;22,45430809;29,32985205;17,84160139;18,71192341;205,5630936;95,79375848;151,1533243;99,05020353;101,3568521;120,624152;83,44640434;338,9403974;175,8940397;165,4304636;133,3774834;89,00662252;141,589404;116,8211921
A0A024R571;;;;;;;;;266,6;200,3;14,8;37,1;152,5;86,7;92,4;140,1;6,5;9,5;3,1;12,1;115,4;50,1;34,8;17,5;35,1;23;19,9;243,6;95;85;50,4;77,6;64,6;12,3;35;19,2;19,5;25,4;33,2;33,6;17,3;11,4;18,7;7,1;13,2;16,8;12,2;26,3;20,7;78,9;36,9;21;17,8;18,2;375,2941176;282,3529412;111,2941176;111,2941176;118,4705882;155,4117647;57,29411765;195,1536643;43,8534279;56,1465721;62,41134752;76,95035461;85,46099291;42,90780142;124,4565217;33,04347826;46,95652174;33,91304348;43,36956522;32,06521739;27,7173913;194,7556615;59,71394517;46,84147795;41,35876043;45,05363528;57,09177592;65,79261025;28,09446254;18,56677524;25,73289902;22,63843648;39,49511401;36,40065147;154,3040293;33,6996337;38,0952381;23,99267399;22,61904762;20,23809524;103,9419087;24,17012448;56,74273859;42,53112033;33,19502075;44,50207469;26,76348548;166,9362084;19,58670261;35,30997305;22,46181491;27,67295597;31,44654088;26,9541779
A0A075B6H7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63,5;79,8;73,4;102,6;105,3;97,2;70,4;130;;;;;;;;62,4771202;108,2977425;69,73764491;92,49542404;79,25564369;112,9957291;134,4722392;46,1192351;144,9943757;45,72553431;209,336333;76,20922385;226,5466817;92,06974128;43,40344168;48,43849586;28,7444232;44,99681326;28,48948375;52,26258764;31,73996176;95,70093458;126,0747664;157,9439252;180,0934579;70,74766355;94,76635514;117,2284644;195,505618;239,7003745;263,670412;272,8464419;287,8277154;98,69387755;97,30612245;125,7959184;138,0408163;94,53061224;113,4693878;127,9183673;54,37788018;115,2841782;118,8172043;73,96313364;95,39170507;44,08602151;148,3102919
A0A075B6H8;86,3;74,2;93;79,7;127,4;231,6;239;132,4;;;;;;;;;;;;;81,5;144,6;63,4;112,1;364,7;131,8;101,5;46,8;58,5;83,9;77,3;85,9;105;;;;;;;;;;;;;;92;120,4;125,4;73,8;296,8;90,9;134,5;148,5;39,46037099;24,28330523;95,36256324;73,44013491;98,98819562;78,4148398;104,9747049;57,58591785;74,3503772;80,72087175;56,99916178;57,08298407;67,72841576;108,8013412;27,24573125;58,57461024;31,32887899;105,7906459;43,5783222;152,7839644;80,54936897;46,82139253;138,8496468;141,271443;151,9677094;58,12310797;81,73562059;130,9788093;147,1059662;132,7693678;114,3365984;148,4416741;93,94479074;110,5966162;86,07863974;86,07863974;84,69713071;84,37832094;91,81721573;107,7577046;154,1866029;140,0717703;143,4210526;148,0861244;152,9904306;172,9665072;184,8086124;90,72847682;92,45033113;101,7218543;91,52317881;104,3708609;97,35099338;131,1258278
A0A075B6H9;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,7;10,6;9,9;96,1;15,3;287,3;;;;;;;;;;;;;;4,5;6,7;4,2;38,3;15,9;9,4;7,6;3,8;44,9747333;22,45929253;93,31836047;41,43739472;35,87871982;71,47669848;41,43739472;25,03506311;13,25385694;13,60448808;24,4740533;30,29453015;17,95231417;19,70546985;;;;;;;;86,80445151;131,0015898;106,200318;123,5294118;66,93163752;78,85532591;154,8489666;239,6501458;211,3702624;400;263,2653061;169,6793003;181,3411079;;;;;;;;;;;;;;;;;;;;
A0A075B6I0;;;;;;;;;;;;;;;;;;;;;;;;;;;;64,4;44,2;66,7;86,3;43;102,3;16,6;28,3;129,5;38;49,1;;;;;;;;;85,4;88,7;74;80,5;122;84,1;87,2;110,6;49,93377483;33,17880795;52,64900662;35,82781457;36,22516556;50,86092715;38,94039735;55,55555556;72,73307791;65,90038314;66,66666667;54,02298851;54,34227331;76,75606641;47,35516373;88,91687657;54,82787573;154,4080605;62,80436608;140,6381192;87,40554156;71,53912296;90,1977644;85,03869304;78,67583835;69,8194325;91,74548581;90,36973345;143,2631579;154;140,1052632;140,6315789;97,68421053;133,4736842;95,40636042;131,4487633;114,1342756;150,1766784;155,8303887;182,9210836;132,1204517;135,0062735;157,7164366;169,3851945;161,7314931;149,4353827;176,6624843;;;;;;;
A0A075B6I1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;111,6923077;275,5384615;98,46153846;224,4615385;232,7692308;118,7692308;132,7692308;108,3333333;354,1666667;165,8333333;335,5952381;220,952381;255,8333333;243,8095238;85,75712144;173,4632684;70,0149925;113,1934033;72,26386807;92,20389805;104,4977511;351,3416816;712,3434705;298,3899821;1222,182469;222,5402504;232,0214669;;;;;;;213,8461538;450;624,4230769;575;209,0384615;414,0384615;368,6538462;;;;;;;
A0A075B6I4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;906,3;706,3;206,4;3451;2426,5;;;;;;;;;408,6;466,7;560,4;172,4;1000,3;470,8;671,1;637,7;;;;;;;;269,1309987;580,155642;460,5706874;433,8521401;406,4850843;349,156939;630,4798962;;;;;;;;;;;;;;;;;;;;;;;;;;;343,373494;945,1807229;814,7590361;1120,783133;710,8433735;1331,927711;1648,795181;168,4684685;310,6606607;256,4564565;284,8348348;304,3543544;291,8918919;443,6936937
A0A075B6I9;;;;;;;;;81,6;200;86,5;321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;133,6414048;102,4953789;106,0073937;108,2255083;112,3844732;81,05360444;111,5526802;228,1195079;462,0386643;66,95957821;385,940246;161,1599297;360,8084359;283,4797891;;;;;;;;273,8404453;349,1651206;281,6326531;338,5899814;148,9795918;255,2875696;103,8626609;197,4248927;169,527897;272,9613734;196,1373391;316,5236052;109,8381071;110,8343711;108,2191781;281,6936488;248,5678705;158,5305106;273,1008717;;;;;;;
A0A075B6J9;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;2,9;5,5;27,2;4,2;44,4;0,6;3,8;16,5;7,1;7,3;;;;;;;;;;;;;;;;;31,08108108;21,89189189;106,6666667;20;27,65765766;78,10810811;99,36936937;19,54915004;8,573540281;8,795269771;11,89948263;7,058388766;8,536585366;6,430155211;14,15882968;44,46185998;7,836990596;231,138976;17,03239289;150,522466;76,54127482;24,15316642;19,93127148;8,54197349;7,805596465;11,09474718;10,30927835;16,10211095;40,93137255;171,0784314;36,51960784;92,89215686;31,61764706;35,78431373;208,3737864;58,25242718;240,4126214;298,3009709;484,3446602;85,07281553;;;;;;;;246,4125561;47,53363229;65,47085202;34,75336323;56,7264574;30,71748879;14,79820628
A0A075B6K2;;;;;;;;;1,5;21,6;15;15,7;;;;;;;;;;;;;;;;0,7;8,8;1,8;10,1;1,6;7,6;2,6;27,3;19;2,2;7,6;10,4;297,3;119,2;1987,4;335,2;144;451,3;2802,4;2,6;5;5;34,5;2,9;11,8;6,9;3,1;10,9264854;11,93353474;14,50151057;12,33635448;15,65961732;13,59516616;9,41591138;6,583217432;3,569772833;4,38108484;2,990264256;3,059805285;3,500231803;2,433936022;;;;;;;;11,60583942;10,65693431;4,817518248;3,357664234;2,262773723;8,783454988;16,13138686;14,82200647;12,16828479;18,12297735;7,184466019;11,71521036;17,08737864;293,2249322;53,08641975;176,4528756;160,7648299;205,0286058;14,33303222;95,36247335;11,30063966;32,14285714;2,931769723;11,7803838;12,63326226;6,609808102;;;;;;;
A0A075B6K4;131,4;187,1;160,4;51,7;234;434,9;456;499,3;;;;;;;;;;;;;;;;;;;;53,1;286,2;292,8;176,3;323,1;406,9;;;;;;;;;;;;;;;;;;;;;;39,65392934;29,92069214;85,21989906;58,97620764;71,52126893;76,49603461;98,26964672;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;106,6505441;98,91172914;118,1378476;145,828295;143,4099154;122,974607;137,2430472;80,49001815;328,4029038;362,3411978;194,5553539;218,4210526;174,4101633;399,4555354
A0A075B6K5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99,91173875;3,089143866;317,1226831;59,48808473;79,9646955;218,9761695;90,11473963;;;;;;;;16,3476874;125,2791069;5,103668262;618,3413078;0,558213716;291,2280702;93,85964912;55,61357702;32,55004352;11,92341166;18,2767624;19,32114883;55,61357702;15,66579634;;;;;;;247,84689;96,33173844;252,7910686;204,3062201;304,3062201;31,2599681;220,6703911;7,82122905;57,40223464;15,78212291;39,66480447;79,32960894;112,0111732;;;;;;;
A0A075B6P5;126,5;94;124,3;71,2;186,8;326,6;211,5;235,7;134,8;137,5;394;438,2;138,4;204;148,9;13,1;8,2;11,9;7,8;11,1;131,4;140,6;153,6;257,1;104,4;147,2;233,1;81,3;80,6;147,7;110,1;167,7;148,7;52,8;58,8;107,6;168,3;111,8;112,1;124,1;176,5;104,6;155;85,1;176,2;168,8;36,6;34,6;30;47,6;45,7;37,6;42,8;43,1;124,2375602;99,67897271;273,6757624;200,4815409;270,7865169;159,2295345;293,9004815;11,24309392;6,38121547;8,342541436;9,613259669;8,17679558;7,237569061;9,944751381;11,67039523;56,04026846;9,395973154;119,9478001;8,687546607;102,8337062;35,86875466;15,8975598;27,27712008;10,77554965;15,92172022;12,70838367;16,62237255;16,2841266;144,3447038;238,9587074;164,6319569;249,7307002;144,524237;151,5260323;98,25986079;133,062645;139,4431555;158,4686775;183,7587007;171,8097448;34,8248206;20,47277332;23,30097087;21,14816378;25,66483748;26,88898269;26,00253271;27,05510388;7,633242999;13,0532972;6,955736224;13,23396567;10,93044264;10,3432701
A0A075B6Q5;50,2;152,4;153,8;11,7;14,4;97,2;24,8;76;61,1;133,7;170,1;79,3;;;;;;;;;93,1;135,5;153,8;224,5;280,9;232,4;204,6;15,8;72;76,3;95;61,1;74,8;;;;;;39,5;245,3;38,6;82,2;276,9;20,2;99,9;58,7;65,3;114,2;105,4;119,8;137,2;90,7;122,3;94,3;53,1026253;77,20763723;66,82577566;49,64200477;61,09785203;67,54176611;43,91408115;79,04967603;154,6436285;127,7537797;157,5593952;134,7732181;148,0561555;166,7386609;34,49564134;133,8729763;47,75840598;218,0572852;50,373599;158,4682441;139,0410959;51,11111111;77,70114943;65,13409962;71,72413793;63,44827586;68,04597701;72,10727969;201,5350877;383,004386;226,2061404;378,1798246;142,7631579;215,8991228;97,48892171;114,4756278;188,478582;169,7193501;165,7311669;207,5332349;142,6303855;105,8956916;97,39229025;123,9229025;145,3514739;129,2517007;164,1723356;136,5296804;124,8858447;154,109589;109,3607306;184,0182648;125,1141553;155,4794521
A0A075B6R9;138,5;117,6;130,8;36,6;132,5;204;165,9;167,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71,56177156;38,81118881;154,8951049;97,31934732;116,0839161;113,6363636;176,5734266;106,3909774;153,8847118;121,3032581;100,877193;141,4786967;169,4235589;304,887218;74,15254237;379,8728814;146,6101695;201,4830508;209,9576271;129,0254237;312,0762712;82,32931727;145,3815261;53,61445783;71,08433735;64,45783133;80,32128514;79,91967871;274,4067797;518,9830508;287,7966102;728,1355932;164,4067797;223,3898305;150,2923977;134,3079922;153,9961014;195,711501;195,711501;324,7563353;179,6511628;259,496124;267,6356589;366,4728682;266,4728682;338,7596899;571,3178295;206,2645012;241,5313225;105,3364269;90,9512761;207,424594;240,3712297;109,0487239
A0A075B6S6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93,29842932;174,4502618;136,5445026;153,2984293;151,0994764;146,2827225;201,2565445;;;;;;;;;;;;;;;159,2369478;376,5060241;184,7389558;546,7871486;102,6104418;176,1044177;98,71244635;235,6223176;268,6695279;384,1201717;254,0772532;633,9055794;136,6438356;172,9452055;181,5068493;178,0821918;182,5342466;217,6369863;201,0273973;151,2244898;268,1632653;197,5510204;168,3673469;208,5714286;284,2857143;164,6938776
A0A075B6S9;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;2,4;4,7;79,6;1,2;118,6;;;;;;;;;;;;;;1,1;6,6;6,4;54,1;15,2;5,3;8,9;5;23,08164518;8,47145488;80,66298343;9,023941068;18,78453039;56,53775322;27,68569675;16,00823045;7,201646091;9,465020576;9,012345679;6,46090535;6,58436214;7,160493827;17,52008032;77,25903614;13,10240964;508,8353414;9,236947791;325,4016064;70,78313253;22,26871223;17,9916318;9,29800093;11,06462111;10,18131102;14,9697815;11,94793119;18,18181818;195,1790634;17,76859504;60,05509642;22,03856749;31,95592287;109,8693759;26,3425254;99,78229318;87,01015965;159,2888244;15,52975327;123,7020316;17,15575621;23,77727615;16,10233258;14,29646351;32,20466516;20,8427389;123,147301;8,417200366;38,60933211;16,01097896;30,10064044;22,68984446;13,1747484
A0A075B7B8;93,8;54,9;62,3;146,4;89,2;135,4;111,3;102;36,7;70,7;18,3;54,5;;;;;;;;;165,6;149,7;104,1;117,1;232,5;321,6;204,5;28,5;23,8;33,6;16,8;51,9;61,9;;;;;;;;;;;;;;68,2;81,4;75,4;93,9;141,5;55,9;127,5;111,7;;;;;;;;63,38729763;50,68493151;38,85429639;41,59402242;34,49564134;31,13325031;37,85803238;26,38888889;41,55092593;19,09722222;57,87037037;27,77777778;42,36111111;33,91203704;66,50774732;160,1907032;125,864124;186,4123957;320,2622169;720,3814064;278,1883194;101,0676157;128,113879;81,67259786;87,72241993;49,82206406;60,67615658;145,1361868;126,6536965;103,5019455;130,9338521;136,381323;149,8054475;191,5134371;378,5007072;752,4752475;869,4483734;344,8373409;1035,219236;788,8260255;81,97530864;51,11111111;58,51851852;39,25925926;102,962963;70,86419753;63,45679012
A0A075B7D0;39,7;34,1;47,7;35,7;91,8;170;109,4;110,9;43,7;447,1;164,5;523,4;;;;;;;;;38,3;32,3;52,7;63,8;51,3;87,8;134;;;;;;;;;;;;;;;;;;;;76,9;102,9;87,2;131,9;278,3;91,7;170,7;202,4;107,8677309;83,35233751;356,6704675;157,1265678;204,7890536;201,9384265;236,031927;116,8055556;118,4722222;102,2222222;102,6388889;94,16666667;84,30555556;117,3611111;;;;;;;;135,7529794;156,0130011;143,2286024;167,063922;143,2286024;133,8028169;149,5124594;115,4761905;282,7380952;123,2142857;773,2142857;69,52380952;104,6428571;73,77952756;53,07086614;104,9606299;129,6850394;181,1811024;60,23622047;185,8208955;178,6069652;253,4825871;240,2985075;266,6666667;234,8258706;294,0298507;75,84134615;64,18269231;67,30769231;52,88461538;68,14903846;56,61057692;72,59615385
A0A075B7D4;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,9;188,5;186,6;235,4;86,7;76,2;;;;;;;;;;;;;;;;;;;;;;34,34396236;26,6074229;25,50967067;28,59383168;46,26241505;33,19393623;117,2503921;82,64925373;27,11442786;38,12189055;96,39303483;56,77860697;61,19402985;32,08955224;;;;;;;;33,46613546;108,6321381;58,23373174;64,40903054;79,1500664;95,41832669;49,13678619;143,8730853;126,2582057;150,7658643;76,25820569;63,6761488;85,12035011;69,27639383;76,15658363;321,826809;54,09252669;66,31079478;44,83985765;52,67804591;34,02001177;46,32136551;83,22542672;60,91818717;54,50264862;53,20776928;31,32352941;178,9705882;132,7941176;162,3529412;156,7647059;53,08823529;53,52941176
A0A075B7F0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;683,3;1253,3;779,3;81,3;674;723,3;211;155,4;137,0531822;66,95727986;225,021796;186,3993025;238,5353095;188,8404534;261,1159547;68,13186813;98,74411303;100,6279435;108,6342229;85,08634223;78,64992151;109,8901099;;;;;;;;;;;;;;;97,31543624;160,4026846;124,1610738;233,557047;102,6845638;127,5167785;1228,699552;414,7982063;1099,103139;943,4977578;2107,174888;538,5650224;111,9318182;256,25;242,6136364;515,3409091;181,8181818;191,4772727;222,1590909;133,0677291;78,88446215;141,0358566;98,00796813;191,2350598;131,87251;75,29880478
A0A075B7F1;;;;;;;;;8,6;5;9,2;4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;214,7;264,8;150,6;206;745,5;64,4;281,7;446,5;;;;;;;;10,74829932;5,204081633;2,040816327;6,598639456;7,482993197;4,149659864;4,047619048;;;;;;;;6,327409801;4,846526656;6,300484653;3,419493807;3,5271944;5,815831987;5,49273021;134,5381526;63,45381526;66,26506024;40,562249;111,2449799;91,96787149;23,27341533;22,13812677;23,14727215;32,45033113;31,03122044;52,06559445;;;;;;;;115,1358344;268,5640362;326,1966365;124,7736093;119,9223803;74,12677878;413,0659767
A0A087WSY6;14,6;25,2;21,2;126,8;22,1;27,2;44,7;26,2;9,7;18,9;97,5;25,5;3767,2;7104,9;4287,6;226,1;261,4;302,4;158;285,2;17,7;26,4;196;152,9;131,3;201,3;213,3;18,9;28,1;53;107,6;52,9;140,5;13,9;25,2;89,7;63,8;58,6;1;13,1;2,2;112,3;12,1;11,5;15,4;226,8;26,6;39,9;34,5;45,6;68,9;32,8;55,5;59,7;51,995439;17,38882554;178,1071836;39,85176739;60,14823261;107,2405929;75,14253136;31,15987461;37,36677116;29,40438871;32,1630094;26,01880878;25,01567398;33,85579937;29,89966555;106,4882943;27,62541806;245,2842809;34,44816054;187,5585284;82,40802676;25;32,09635417;16,08072917;20,3125;16,86197917;25,26041667;20,703125;63,55685131;206,6083576;59,2808552;272,9834791;47,71622935;64,62585034;90,46270066;72,23796034;108,1208687;107,082153;155,8073654;110,7648725;112,3142251;79,19320594;75,79617834;89,8089172;85,45647558;102,9723992;99,57537155;61,84615385;19,8974359;30,66666667;21,84615385;30,25641026;22,76923077;26,56410256
A0A087WTB8;802,9;232,6;237,9;17,8;171,8;47,9;78,4;34,6;;;;;;;;;;;;;;;;;;;;2,6;3,8;4,5;27,3;5,3;32,2;4,6;12,8;26,5;5,2;14,3;;;;;;;;;247,7;201,6;195,3;69,5;140,6;133,5;165;127,6;;;;;;;;;;;;;;;54,63237718;25,18958127;47,21397956;68,64490603;49,29113089;101,7804154;44,01582591;28,93198725;14,87778959;7,279489904;10,04250797;13,52284803;16,73751328;11,424017;;;;;;;;;;;;;;;;;;;;;;;;;;
A0A087WTT1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97,08135717;73,76869756;37,35862824;53,55709595;56,14739146;75,51988325;50,12769062;51,08597285;23,75565611;27,1040724;52,0361991;106,9230769;62,85067873;41,90045249;21,63597734;7,577903683;33,4631728;50,81444759;28,85977337;28,68271955;16,78470255;58,36855452;24,30262046;24,2180896;21,25950972;22,40067625;25,65511412;24,38715131;69,83021332;11,01436657;47,67087505;9,185894645;43,70918589;43,97039617;29,98417722;20,17405063;18,59177215;16,4556962;16,69303797;19,18512658;37,05603788;25,45382794;33,10970797;26,04577743;26,20363062;33,70165746;22,21783741;46,65891923;23,50377687;41,98140616;33,41080767;20,5403835;24,14294015;21,8768158
A0A087WU43;176,2;43,8;114,4;13,2;127,9;621,3;371;202,5;136,8;174,9;7,2;510,8;;;;;;;;;174,4;134,2;1;11,5;52,5;15,8;35,7;35,2;30,4;37,5;25,3;90,6;53;349,1;39,6;32,7;887,2;514,9;170;87,1;246,8;1,2;201,4;93,8;107;0,1;272,9;247,5;159,8;50,4;299,6;154,6;494,1;371,7;71,97889182;12,21635884;13,29815303;16,54353562;13,19261214;11,58311346;17,65171504;41,55164208;34,98334127;39,31461209;40,40932889;29,84293194;42,07520228;31,69919086;6,137254902;6,019607843;11,78431373;10,80392157;22,23529412;13,1372549;6,294117647;113,7998056;80,17492711;84,54810496;106,122449;99,31972789;148,6880466;105,1506317;183,6236934;49,12891986;194,7735192;30,66202091;132,9268293;67,24738676;509,4650206;288,7517147;154,3209877;267,0781893;525,9259259;299,3141289;258,7349398;137,0481928;206,1746988;164,0060241;296,2349398;123,3433735;199,8493976;204,7966632;164,3378519;170,8029197;104,6923879;148,2794578;146,7153285;296,1418144
A0A087WUI4;3052,8;51,4;11,7;15,5;10,4;25,7;41,7;31,5;352,4;27,2;3,6;12,8;259,9;259,1;103,4;7,6;3,9;11,4;7,9;7,1;4767;92,3;39,9;74,8;31,7;58;22,5;2652,8;31,8;24;17,1;44,7;20,6;1101,2;30,2;27;14,6;12,3;3064,5;110,5;110,7;59,2;67,5;67,4;51,1;36;5070,3;136,9;24,5;23;93,3;51,5;44;71,2;;;;;;;;31,34726545;110,3156959;92,17429969;55,35793686;28,67941307;19,83103602;20,00889284;;;;;;;;723,4579439;156,635514;40,93457944;34,57943925;24,76635514;37,19626168;51,68224299;;;;;;;36,34423898;80,44096728;57,11237553;23,18634424;18,84779516;31,3655761;72,63790279;35,60895685;293,2823594;52,86728564;38,99508465;38,23047515;51,88421628;123,1155779;48,74371859;70,85427136;1101,507538;262,3115578;812,0603015;77,38693467
A0A087WVQ6;24;84,9;53,3;389,8;26,6;22,3;22,2;20;30,3;69,4;85,7;17,5;55,2;27,4;64,9;124,7;26,7;51;336,6;307,7;34,7;48,8;46,2;60,6;22,5;20,3;18,1;20,1;48,2;21,1;65;13,5;35,8;39,1;66,5;51,3;19,9;28,6;74,7;32;15,7;175,5;11,9;10,8;28,7;39,3;37,2;56,2;52,1;187,5;31,9;60,6;42,5;36,1;66,92693809;49,30284439;97,43446737;74,84662577;84,2163971;85,05298383;55,71667596;48,28828829;29,36936937;25,09009009;46,48648649;57,47747748;58,87387387;44,86486486;37,85648574;26,724931;36,9825207;77,27690892;36,84452622;76,90892364;45,49218031;26,2063228;22,4625624;15,84858569;15,26622296;16,76372712;17,80366057;16,38935108;37,83553473;33,40434597;30,42181508;19,81252663;52,49254367;50,31955688;38,83840379;24,61477677;58,83050178;49,22955354;39,78664559;26,82734097;36,19683069;22,31025855;52,29357798;26,27189324;24,56213511;52,66889074;18,76563803;27,77953754;13,17706684;13,71555274;11,65663605;12,67025657;18,68862844;10,76971809
A0A087WW49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71,35135135;122,8828829;239,0990991;122,7027027;156,9369369;164,1441441;172,4324324;;;;;;;;67,98029557;228,7356322;129,0640394;98,85057471;119,8686371;113,9573071;189,6551724;;;;;;;;123,5194585;198,9847716;129,1032149;258,714044;110,4906937;123,1810491;;;;;;;160,4051565;602,5782689;378,2688766;468,8766114;309,3922652;127,6243094;237,0165746;;;;;;;
A0A087WWG1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36,68141593;9,646017699;14,33628319;18,2300885;8,628318584;14,02654867;13,53982301;25,09276438;20,59369202;22,03153989;83,58070501;27,08719852;118,8311688;33,39517625;;;;;;;;8,041401274;9,51433121;16,00318471;8,121019108;34,07643312;32,32484076;44,67748318;6,727344677;16,22477246;10,60546102;15,67075584;7,954095766;52,40233498;13,47103727;17,91647957;9,923664122;9,295015716;22,18230804;5,657835653;72,56990679;3,462050599;17,04394141;4,704837994;10,60807812;6,702174878;3,195739015
A0A087WX80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;118,4738956;254,0829987;626,5060241;197,0548862;245,6492637;147,523427;185,9437751;6,543385491;66,28733997;7,728781413;749,6443812;2,370791844;481,1284969;42,15267899;43,56435644;44,77447745;20,62706271;45,98459846;32,06820682;56,27062706;70,62706271;2,233804914;22,85927029;4,542069993;15,71109456;3,723008191;6,403574088;70,27511962;35,76555024;168,4808612;38,09808612;96,53110048;6,459330144;58,94160584;10,40145985;11,13138686;9,854014599;18,49148418;52,61557178;14,35523114;112,9641284;2,391441158;10,9502832;8,055380743;13,40465702;12,02013845;3,272498427
A0A087WXE3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;341,1214953;474,4548287;174,6105919;164,6417445;123,9875389;180,2180685;87,38317757;177,8497409;80,95854922;113,9896373;138,4715026;183,9378238;183,4196891;121,761658;146,8109339;66,97038724;177,904328;180,2961276;155,4669704;237,2437358;88,49658314;257,0700637;88,28025478;78,72611465;64,84076433;85,35031847;90,1910828;133,3757962;87,08288482;54,68245425;51,45317546;21,85145318;106,0279871;74,70398278;244,6693657;106,8825911;84,61538462;76,24831309;75,70850202;53,57624831;146,1851475;61,85147508;223,6012208;42,72634791;72,53306205;159,4099695;65,81892167;81,46240989;86,40576725;90,93717817;89,28939238;66,42636457;69,3099897;71,98764161
A0A087WY55;;;;;;;;;;;;;;;;;;;;;225,8;21,2;86,6;58,6;26,2;5,7;11,9;;;;;;;6,9;25,3;8,3;5,9;6,8;;;;;;;;;;;;;;;;;;;;;;;;24,17355372;4,855371901;8,238636364;8,445247934;9,994834711;5,785123967;8,006198347;19,31564592;8,356062485;6,744359038;20,33225886;10,41408381;46,41705926;12,24894619;;;;;;;;27,58496023;21,29428778;26,75343456;11,74981923;35,10484454;48,48156182;;;;;;;60,29411765;28,60644258;80,25210084;51,75070028;36,8697479;47,68907563;30,56722689;;;;;;;
